Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-10-08 04:56:44,false,"Quan Thanh Khe - MAF 14 Km FF 1 K","10.52","646","01:51:48","137","154","2.6","122","208","10:37","6:17","4","13","0.85","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","00:02.70","14","31.0","01:49:12","01:51:48","-10","2"
Yoga,2023-10-07 06:15:19,false,"Yoga","0.00","83","00:16:51","112","125","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","16:50.65","1","32.0","00:00:00","00:16:51","--","--"
Running,2023-10-07 04:57:40,false,"Quan Thanh Khe - MAF 10 Km FF 1 K","7.73","472","01:14:28","140","157","2.8","138","183","9:38","7:09","3","11","0.93","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","00:01.62","11","31.0","01:13:54","01:14:28","-10","1"
Running,2023-10-06 18:29:32,false,"Quan Thanh Khe Running","2.69","151","00:32:05","104","129","1.1","32","246","11:55","9:12","--","7","2.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","08:13.34","3","32.0","00:31:51","00:32:05","-23","-15"
Yoga,2023-10-06 06:11:56,false,"Yoga","0.00","79","00:14:26","116","128","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","14:26.20","1","33.0","00:00:00","00:14:26","--","--"
Running,2023-10-06 05:12:28,false,"Quan Thanh Khe - Run MAF 5 Km","5.44","344","00:55:09","140","156","2.8","134","226","10:08","7:38","3","9","0.94","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:20.67","7","33.0","00:52:56","00:55:09","-6","0"
Yoga,2023-10-04 06:16:15,false,"Yoga","0.00","75","00:15:41","110","126","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","15:41.05","1","32.0","00:00:00","00:15:41","--","--"
Running,2023-10-04 05:17:17,false,"Quan Thanh Khe - 3 miles","5.37","324","00:56:32","135","149","2.4","129","215","10:31","6:15","1","9","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","03:46.57","7","31.0","00:54:56","00:56:32","-163","-153"
Running,2023-10-03 06:15:30,false,"Running","0.00","--","00:00:02.8","0","0","--","--","--","47:29","16:42","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","00:02.84","1","29.0","00:00:00","00:00:02.8","-135","-135"
Running,2023-10-03 05:19:32,false,"Quan Thanh Khe - 3 miles","5.35","326","00:55:10","138","162","2.7","115","201","10:18","6:54","2","16","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","03:27.27","7","31.0","00:53:31","00:55:10","-136","-120"
Yoga,2023-10-02 06:14:54,false,"Yoga","0.00","66","00:14:36","109","124","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","14:35.58","1","33.0","00:00:00","00:14:36","--","--"
Running,2023-10-02 05:16:12,false,"Quan Thanh Khe - 5 Miles","5.36","325","00:56:13","136","155","2.7","125","205","10:29","7:16","2","9","0.89","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","03:59.23","7","31.0","00:54:30","00:56:20","-111","-102"
Cycling,2023-09-24 08:46:32,false,"Huyen Phu Loc Cycling","4.68","100","00:19:08","117","141","1.7","--","--","14.7","22.2","8","10","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","19:08.08","1","31.0","00:18:50","00:26:35","-17","-10"
Running,2023-09-23 14:09:19,false,"Huyen Phu Loc Running","1.20","167","00:34:08","115","131","1.7","19","169","28:26","9:21","2,160","2,176","2.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","02:56.38","2","35.0","00:18:16","00:34:08","-358","12"
